BROKER,count
compass,436
douglas elliman,292
brown harris stevens,148
sotheby's international realty,99
exp realty,94
corcoran east side,86
re max edge,75
winzone realty inc,64
e realty international corp,58
"robert defalco realty, inc.",56
serhant,50
re max real estate professionals,48
keller williams nyc,42
corcoran chelsea/flatiron,40
corcoran park slope,39
sowae corp,37
keller williams rlty landmark,37
corcoran brooklyn heights,34
nobroker,33
"nest seekers international, midtown",31
keller williams realty landmark ii,31
corcoran west side,30
momentum real estate,28
corcoran park avenue south,28
re max elite,27
corcoran soho,25
coldwell banker american homes,22
corcoran westside columbus,21
century homes realty group,20
keller williams realty greater nassau,20
ditommaso real estate,19
bergen basin realty,18
charles rutenberg realty inc,17
5 boro realty corp,17
the agency,17
trebach realty inc,17
besmatch real estate,16
b square realty,16
re/max team,16
ashford homes,16
"homes r us realty of ny, inc.",16
keller williams realty nyc grp,15
voro,15
elegran real estate and development,15
"neuhaus realty, inc.",15
re/max in the city,15
"ben bay realty, co.",15
keller williams realty liberty,14
real broker ny,14
corcoran williamsburg bedford,14
re max distinguished homes & properties,14
"garfield, leslie j. & co., inc.",14
exp realty bkny,14
corcoran bedford stuyvesant,13
daniel gale sotheby's international realty,13
charles h. greenthal property,13
east coast realtors inc,13
"tom crimmins realty, ltd.",13
oxford property group,13
corcoran west side gallery,13
bhhs new york properties,13
coldwell banker advantage,13
century 21 realty first,13
jamie & connie real estate grp,13
keystone realty usa corp,12
re/max edge,12
fillmore real estate,12
keller williams legendary,12
american homes group,11
chase global realty corp,11
coldwell banker reliable real estate,11
re/max elite,11
coldwell banker warburg,11
remax edge,11
exit realty first choice,11
r new york,10
re max 1st choice,10
howard hanna | rand realty,10
coldwell banker reliable,10
prime realty,10
signature premier properties,10
top nest inc,10
realhome services & solutions,10
ilite realty inc,10
bond new york- columbus circle,9
"century 21 amiable realty group ii, inc.",9
realty connect usa,9
jm properties,9
cross country realty,9
keller williams realty empire,9
elite real estate group 1,9
wonica realtors & appraisers,9
berkshire hathaway,9
talk of the town realty c,8
exit realty top properties,8
chous realty group inc,8
homefinders of si inc.,8
ben bay realty company of staten island,8
brown harris stevens- 3531 johnson avenue,8
city connections realty,8
akcess24homes inc,8
exit all seasons realty,8
"robert e. hill, inc.",7
re/max city square,7
island advantage realty,7
keller williams realty group,7
fave realty inc,7
century 21 achievers,7
redfin real estate,7
magic of great neck realty inc,7
red door realty group,7
"compass greater ny,",7
peter ashe real estate- peter ashe real estate,7
morris park realty group,7
sold by bart r e partners inc,7
prospes real estate corp,7
qvtopservice,7
e house realty & mgt. inc.,7
highline residential,7
exit realty prime,7
hauseit,7
benjamin realty since 1980,7
neuhaus realty inc.,6
"core group marketing,",6
madison estates sotheby's international realty,6
"nest seekers international, tribeca",6
better homes and gardens real estate safari realty,6
goldstone n y realty,6
avenues,6
weichert realtors evolution group,6
century 21 milestone realty,6
"nest seekers international, long island",6
pantiga group inc.,6
living ny,6
laffey real estate,6
j. sikar realty,6
j milo real estate,6
nyc realty brokers,6
hometown properties,6
"nest seekers international, westside",6
new york realty minimax,6
brooklyn`s 4 u realty,6
mitra hakimi realty group,6
staten island premiere properties,6
real new york,6
pride estates,6
christie's int.real estate group,6
the bouklis group,5
berkshire hathaway homeservices cangiano estates,5
weichert realtors tmt group,5
keller williams realty elite,5
realty executives today,5
trademarko realty inc,5
weichert realtors the franzese group,5
liberty chateau realty inc,5
apple realty group corp,5
korr realty,5
astor brokerage ltd,5
spire group inc.- main office,5
century 21 homefront,5
connie profaci realty,5
excellent realty,5
exit realty private client,5
robert defalco realty inc.,5
bright horizons realty inc,5
"kms realty group, inc.",5
tapestry real estate of queens,5
east coast realty partners,5
houlihan lawrence,5
loho realty inc,5
century 21 mk realty,5
probase real estate,5
tdmt,5
diamond real inc,4
maureen folan r e group,4
realty trends corp,4
katz realty,4
block & lot real estate svc,4
joyce realty,4
behfar team,4
brown harris stevens forest hills,4
united realty associates,4
mjr real estate,4
today realty corp.,4
"compass greater new york,",4
amorelli realty,4
"ben bay realty co of bay ridge,",4
han tang realty inc.,4
keller williams points north,4
home global realty,4
real broker,4
keller williams realty staten island,4
o kane realty,4
bedford brownstone realty,4
all area brokerage inc,4
link ny realty,4
united national realty,4
la rosa realty new york,4
tscherne realty inc,4
re max city square,4
gillani homes inc.,4
lombardo homes & estates,4
weichert properties,4
mns,4
corcoran long island city,4
sovereign realty of ny inc,4
atlantic properties realty inc,4
rockaway properties,4
berkshire hathaway homeservices new york properties,4
gateway arms realty corp.,4
prestige homes ny inc,4
julia b. fee sotheby's international realty,4
piastro realty,4
"charles rutenberg realty, inc.",4
carollo real estate inc,4
new concept sheiks realty inc.,4
keller williams ny realty,4
exp realty nyc,4
nexthome prestige,4
"maximillion realty, inc.",4
new group realty inc,4
crifasi real estate inc,4
jabour realty company,4
"fillmore real estate fusion team, inc.",4
macaluso realty,3
re max boutique realty,3
henry watts real estate corporation,3
new heights realty,3
utopia real estate,3
century 21 professional realty,3
rise realty,3
re max central,3
budget real estate nyc inc,3
matias real estate,3
high class realty sb .,3
affordable realty corp,3
continent realty,3
corcoran,3
bhhs fillmore r.e.,3
all american realty management,3
anne,3
reliable sell & buy realty inc,3
queens quality management,3
"erealty advisors, inc",3
"weichert, realtors",3
"john edwards real estate, inc.",3
vylla home,3
beaudoin realty group inc,3
engel & v�������,3
awaye realty,3
realty connect usa l i inc,3
"apaus, inc",3
martino realty group,3
get listed get sold nyc,3
peerless properties corp.,3
halvatzis realty inc,3
skylight real estate consultan,3
ideal properties realty,3
master associates inc.,3
century 21 galvez,3
new york residential r e,3
re max voyage,3
yourhomesold guarantee realty,3
"dom realty, inc",3
pullini realty corp.,3
dreamlife realty new york,3
exit realty one,3
brown harris stevens brooklyn,3
brpi,3
ritz realty ny corp.,3
tiffany moves you inc,3
city realty group,3
built by toll brothers,3
