MODIFIED_ADDRESS,count
"67-66 108th st, forest hills, ny 11375",3
"61-20 grand central pkwy, forest hills, ny 11375",3
"218 w 103rd st, new york, ny 10025",3
"120 queens blvd #98, rego park, ny 11374",3
"1100 clove rd, staten island, ny 10301",2
"310 hillside ave #312, staten island, ny 10304",2
"34-41 85th st #3a, flushing, ny 11372",2
"164 w 88th st, new york, ny 10024",2
"800 grand concourse, bronx, ny 10451",2
"1801 avenue l, brooklyn, ny 11230",2
"35-31 85th st, jackson heights, ny 11372",2
"18 w 127th st, new york, ny 10027",2
"tudor city, new york, ny 10017",2
"2619 shore pkwy, brooklyn, ny 11223",2
"39 w 23rd st, new york, ny 10010",2
"104-14 37th ave, flushing, ny 11368",2
"3 ct square w, long island city, ny 11101",2
"141 e 63rd st, new york, ny 10065",2
"20 cliff st #5b, staten island, ny 10305",2
"97-40 62nd dr, rego park, ny 11374",2
"551 w 21st st #15a, new york, ny 10011",2
"23 arielle ln, staten island, ny 10314",2
"17-85 215th st #6k, flushing, ny 11360",2
"30-38 29th st, queens, ny 11102",2
"46 laight st, new york, ny 10013",2
"6659 amboy rd, staten island, ny 10309",2
"2 e 55th st, new york, ny 10022",2
"522 w 29th st #3a, new york, ny 10001",2
"2080 barnes ave #2090, bronx, ny 10462",2
"9011 35th ave apt 1f, jackson heights, ny 11372",2
"148-09 northern blvd, flushing, ny 11354",2
"8200 narrows ave, brooklyn, ny 11209",2
"125 queens blvd # 10, bronx, ny 10452",2
"101-11 remington st, jamaica, ny 11435",1
"121 w 136th st, new york, ny 10030",1
"35-15 84th st #1a, jackson heights, ny 11372",1
"8009 35th ave apt a8, flushing, ny 11372",1
"95 dikeman st #1r, brooklyn, ny 11231",1
"123 e 80th st, new york, ny 10075",1
"923 rockaway ave, brooklyn, ny 11212",1
" 2 e 55th st #803, new york, ny 10022",1
"301 w 57th st #34e, new york, ny 10019",1
"10 neal dow ave, staten island, ny 10314",1
"108 east 86th st #1fw, new york, ny 10028",1
"11035 72nd rd apt 607, forest hills, ny 11375",1
"73-09 21st ave, flushing, ny 11370",1
"425 w 24th st #3f, new york, ny 10011",1
"173 mcguinness blvd #3c, brooklyn, ny 11222",1
"301 e 63rd st #8d, new york, ny 10065",1
"458 neptune ave #6h, brooklyn, ny 11224",1
"221 mcdonald ave #2j, brooklyn, ny 11218",1
"118-82 metropolitan ave #7c, jamaica, ny 11415",1
"3080 coddington ave, bronx, ny 10461",1
"837 washington ave #4a, bronx, ny 10451",1
"331 leonard ave, staten island, ny 10302",1
"98-34 63rd dr #6g, rego park, ny 11374",1
"111 abbey ct, brooklyn, ny 11229",1
"61-44 77th st, flushing, ny 11379",1
"1774 70th st, brooklyn, ny 11204",1
"1010 5th ave #4b, new york, ny 10028",1
"68-09 booth st #6c, forest hills, ny 11375",1
"140 e 63rd st #4n, new york, ny 10065",1
"45-53 169th st, flushing, ny 11358",1
"48 market st #3a, new york, ny 10002",1
"299 bay 13th st, brooklyn, ny 11214",1
"205 e 63rd st #19e, new york, ny 10065",1
"118-17 union tpke, forest hills, ny 11375",1
"400 central park w #3b, new york, ny 10025",1
"6766 108th st apt c4, forest hills, ny 11375",1
"900 5th ave #4a, new york, ny 10021",1
"2509 mill ave, brooklyn, ny 11234",1
"2978 avenue z, brooklyn, ny 11235",1
"80-06 47th ave #4b, elmhurst, ny 11373",1
"26 hart st, brooklyn, ny 11206",1
"43-15 54th st, flushing, ny 11377",1
"1637 nelson ave, bronx, ny 10453",1
"8853 bay 16th st #3a, brooklyn, ny 11214",1
"1855 e 12th st #5a, brooklyn, ny 11229",1
"84-40 153rd ave #5m, jamaica, ny 11414",1
"301 e 52nd st #4b, new york, ny 10022",1
"3730 83rd st apt 5n, jackson heights, ny 11372",1
"6741 colonial rd, brooklyn, ny 11220",1
"249 w 29th st #2e, new york, ny 10001",1
"40 winant pl, staten island, ny 10309",1
"1621 73rd st, brooklyn, ny 11204",1
"776a brook ave #33a, bronx, ny 10451",1
"46 aviston st, staten island, ny 10306",1
"1808 avenue p, brooklyn, ny 11229",1
"2545 frederick douglass blvd c, new york, ny 10030",1
"57 montague st #8c, brooklyn, ny 11201",1
"575 e 28th st, brooklyn, ny 11210",1
"99-11 60th ave #1h, corona, ny 11368",1
"220 congress st #4d, brooklyn, ny 11201",1
"87 hewitt ave, staten island, ny 10301",1
"5112 post rd, bronx, ny 10471",1
"52 riverside dr #2a, new york, ny 10024",1
"54 97th pl, rego park, ny 11374",1
"14205 roosevelt ave apt 703, flushing, ny 11354",1
"2053 adam clayton powell jr blvd #1a, new york, ny 10027",1
"464 neptune ave #22a, brooklyn, ny 11224",1
"1401 ocean ave #8j, brooklyn, ny 11230",1
"20-08 150th st, flushing, ny 11357",1
"971 jerome st #3a, brooklyn, ny 11207",1
"389 e 89th st #17g, new york, ny 10128",1
"220 e 65th st #20b, new york, ny 10065",1
"2240 80th st #133a, flushing, ny 11370",1
"265 78th st, brooklyn, ny 11209",1
"18 eldridge st #2b, new york, ny 10002",1
"2455 e 13th st, brooklyn, ny 11235",1
"454 nostrand ave. #1, brooklyn, ny 11216",1
"91-31 113th st, richmond hill, ny 11418",1
"246 sherman st, brooklyn, ny 11218",1
"3949 rombouts ave, bronx, ny 10466",1
"81-36 267th st, glen oaks, ny 11004",1
"61-20 grand central pkwy #1105, forest hills, ny 11375",1
"143 meserole st, brooklyn, ny 11206",1
"976 schenectady ave, brooklyn, ny 11203",1
"100 riverside dr #19a, new york, ny 10024",1
"5-42 115th st, college point, ny 11356",1
"66 bianca ct, staten island, ny 10312",1
"7423 ridge blvd #1d, brooklyn, ny 11209",1
"401 e 89th st apt 10l, new york, ny 10128",1
"322 e 57th st, new york, ny 10022",1
"510 e 80th st apartment 12e, new york, ny 10075",1
"5601 riverdale ave #3s, bronx, ny 10471",1
"3126 mermaid ave, brooklyn, ny 11224",1
"1025 45th st #1d, brooklyn, ny 11219",1
"2 charlton st #1a, new york, ny 10014",1
"14 wooster st #4, new york, ny 10013",1
"437 buel ave, staten island, ny 10305",1
"20 west st apt 18a, new york, ny 10004",1
"362 hawthorne st, brooklyn, ny 11225",1
"16241 powells cove blvd apt 2m, whitestone, ny 11357",1
"2475 w 16th st #12h, brooklyn, ny 11214",1
"2601 henry hudson pkwy w, bronx, ny 10463",1
"99-40 63rd rd #5a, rego park, ny 11374",1
"910 faile st, bronx, ny 10474",1
"74 macdougal st, new york, ny 10012",1
"1035 5th ave #4b, new york, ny 10028",1
"37 douglas rd, staten island, ny 10304",1
"2419 arthur ave, bronx, ny 10458",1
"353 3rd st. #5b, brooklyn, ny 11215",1
"2623 mill ave, brooklyn, ny 11234",1
"527d e 156th st #67d, bronx, ny 10455",1
"104-33 39th ave #3d, flushing, ny 11368",1
"1049 5th ave #17b, new york, ny 10028",1
"316 22nd st #1b, brooklyn, ny 11215",1
"245 vermont st, brooklyn, ny 11207",1
"18 brighton 8th st, brooklyn, ny 11235",1
"270 ramapo ave, staten island, ny 10309",1
"825 5th ave #16d, new york, ny 10065",1
"77-32 vleigh pl, flushing, ny 11367",1
"512 w 156th st #33, new york, ny 10032",1
"1075 e 72nd st #43, brooklyn, ny 11234",1
"200-03 34th ave, flushing, ny 11361",1
"435 81st st, brooklyn, ny 11209",1
"39-15 212th st, flushing, ny 11361",1
"895 e 37th st, brooklyn, ny 11210",1
"45 e 72nd st #11b, new york, ny 10021",1
"155 sterling st, brooklyn, ny 11225",1
"478 bainbridge st. #3a, brooklyn, ny 11233",1
"4705 henry hudson pkwy w #4a, bronx, ny 10471",1
"367 e 201st st, bronx, ny 10458",1
"114 garfield pl #1r, brooklyn, ny 11215",1
"118-10 202nd st, jamaica, ny 11412",1
"1625 emmons ave apt 4b, brooklyn, ny 11235",1
"93-04 177th st, jamaica, ny 11433",1
"327 e 22nd st #6, new york, ny 10010",1
"1025 45th st apt 4d, brooklyn, ny 11219",1
"10 park ave #11c, new york, ny 10016",1
"1050 5th ave #17d, new york, ny 10028",1
"21 locust ct, staten island, ny 10309",1
"17 bianca ct, staten island, ny 10312",1
"2900 ocean ave #5n, brooklyn, ny 11235",1
"328 w 96th st #5c, new york, ny 10025",1
"11 e 92nd st apt 1f, new york, ny 10128",1
"235-18 147th rd, jamaica, ny 11422",1
"917 hylan blvd, staten island, ny 10305",1
"307 72nd st #4b, brooklyn, ny 11209",1
"1139 72nd st, brooklyn, ny 11228",1
"3103 fairfield ave #10j, bronx, ny 10463",1
"19-36 75th st, flushing, ny 11370",1
"151-31 88th st #2f, jamaica, ny 11414",1
"215 cornelia st #1a, brooklyn, ny 11221",1
"130-35 145th st, jamaica, ny 11436",1
"555 w 59th st #19b, new york, ny 10019",1
"410 w 24th st #18b, new york, ny 10011",1
"1017 dumont ave, brooklyn, ny 11208",1
"10229 davenport ct, jamaica, ny 11414",1
"1068 51st st, brooklyn, ny 11219",1
"221 edinboro rd, staten island, ny 10306",1
"756 calhoun ave, bronx, ny 10465",1
"45-01 utopia pkwy, flushing, ny 11358",1
"529 e 84th st #2b, new york, ny 10028",1
"135-16 221st st, jamaica, ny 11413",1
"2249 seward ave, bronx, ny 10473",1
"20 keen ct, brooklyn, ny 11229",1
"3032 brighton 1st st, brooklyn, ny 11235",1
"4551 kings hwy, brooklyn, ny 11234",1
"857 e 37th st, brooklyn, ny 11210",1
"11035 72nd rd apt 108, forest hills, ny 11375",1
"34 center dr, flushing, ny 11357",1
"22 oakville st, staten island, ny 10314",1
"64 e 7th st, new york, ny 10003",1
"327 avenue l, brooklyn, ny 11230",1
" 600 w 111th st #2b, new york, ny 10025",1
"530 grand st, new york, ny 10002",1
"62 daleham st, staten island, ny 10308",1
"108 willow st, brooklyn, ny 11201",1
"10 bay street landing #1b, staten island, ny 10301",1
"144 bay 50th st, brooklyn, ny 11214",1
"61-20 grand central pkwy #102, forest hills, ny 11375",1
"8301 ridge blvd #4d, brooklyn, ny 11209",1
"58-48 150th st, flushing, ny 11355",1
"1176 bushwick ave, brooklyn, ny 11221",1
"29-11 butler st, flushing, ny 11369",1
"57 peacock loop, staten island, ny 10309",1
"173 wright st, staten island, ny 10304",1
"118 miller ave, brooklyn, ny 11207",1
"83-52 talbot st #2g, jamaica, ny 11415",1
"333 e 119th st #6c, new york, ny 10035",1
"3304 junction blvd #4d, jackson heights, ny 11372",1
"23 e 67th st, new york, ny 10065",1
"575 4th ave, brooklyn, ny 11215",1
"133 e 91st st, new york, ny 10128",1
"61 n henry st fl 4, brooklyn, ny 11222",1
"39-82 65th pl #4f, queens, ny 11377",1
"21-41 34th ave #5d, astoria, ny 11106",1
"3541 205th st # 291, bayside, ny 11361",1
"1893 longfellow ave, bronx, ny 10460",1
"71-60 163rd st, flushing, ny 11365",1
"12-11 jackson ave, long island city, ny 11101",1
"24 5th ave apt 510, new york, ny 10011",1
"285 riverside dr #11g, new york, ny 10025",1
"601 kappock st #2e, bronx, ny 10463",1
"176 washington park, brooklyn, ny 11205",1
"57-34 159th st, flushing, ny 11365",1
"80 park hill cir, staten island, ny 10304",1
"7315 avenue u, brooklyn, ny 11234",1
"1272 e 70th st, brooklyn, ny 11234",1
"9707 4th ave #5r, brooklyn, ny 11209",1
"85-26 edgerton blvd, jamaica, ny 11432",1
"162 e 2nd st #1a, new york, ny 10009",1
"210 jefferson ave, brooklyn, ny 11216",1
"540 w 49th st ph 8n, new york, ny 10019",1
"116-34 146th st, jamaica, ny 11436",1
"100 w 121st st #64, new york, ny 10027",1
"501 e 136th st, bronx, ny 10454",1
"205 e 10th st #4d, new york, ny 10003",1
"40 e 62nd st #5b, new york, ny 10065",1
"131 darnell ln, staten island, ny 10309",1
"1046 morris ave, bronx, ny 10456",1
"42-31 colden st f6, flushing, ny 11355",1
"142 e 31st st, brooklyn, ny 11226",1
"1238 63rd st #324, brooklyn, ny 11219",1
"454 nostrand ave., brooklyn, ny 11216",1
"89-02 171st st, jamaica, ny 11432",1
"3891 amboy rd, staten island, ny 10308",1
"54 e 129th st #6b, new york, ny 10035",1
"129 satterlee st, staten island, ny 10307",1
"89-22 155th ave, howard beach, ny 11414",1
"285 e 35th st #2d, brooklyn, ny 11203",1
"118 e 60th st #4b, new york, ny 10022",1
"133 w 140th st #21, new york, ny 10030",1
"648 grand st #3f, brooklyn, ny 11206",1
"50 bridge park dr #22a, brooklyn heights, ny 11201",1
"99-72 66th rd #7c, rego park, ny 11374",1
"271 mcdonald ave #1a, brooklyn, ny 11218",1
"163-36 98th st, howard beach, ny 11414",1
"673 knickerbocker ave, brooklyn, ny 11221",1
"2 bay club dr apartment 15z4, bayside, ny 11360",1
"142 joralemon st #14b, brooklyn, ny 11201",1
"36 hamilton ave #6b, staten island, ny 10301",1
"129 e 69th st #7b, new york, ny 10021",1
"88 brooklyn ave apt a6, brooklyn, ny 11216",1
"2337 foster ave, brooklyn, ny 11210",1
"14449 barclay ave apt 7a, flushing, ny 11355",1
"319 e 50th st #9e, new york, ny 10022",1
"1746 bergen st, brooklyn, ny 11233",1
"306 lincoln rd #2l, brooklyn, ny 11225",1
"9047 176th st, jamaica, ny 11432",1
"515 e 72nd st #29d, new york, ny 10021",1
"622 w 114th st #53, new york, ny 10025",1
"3636 barnes ave, bronx, ny 10467",1
"26 4th pl, brooklyn, ny 11231",1
"6 e 69th st, new york, ny 10065",1
"116-40 148th st, jamaica, ny 11436",1
"226 fingerboard rd, staten island, ny 10305",1
"251 kelly blvd, staten island, ny 10314",1
"9820 62nd dr apt 15h, rego park, ny 11374",1
"68-5 138th st #3b, flushing, ny 11367",1
"212 e 84th st #2c, new york, ny 10028",1
"24 5th ave apt 1512, new york, ny 10011",1
"829 pine st, brooklyn, ny 11208",1
"2120 e 26th st, brooklyn, ny 11229",1
"605 e 57th st, brooklyn, ny 11234",1
"115- 49 inwood st, jamaica, ny 11436",1
"155 bay st #4f, staten island, ny 10301",1
"53 e 126th st, new york, ny 10035",1
"80 park ave #10b, new york, ny 10016",1
"150 w 51st st apt 2116, new york, ny 10019",1
"382 central park w #18j, new york, ny 10025",1
"675 sackett st apt 105, brooklyn, ny 11217",1
"2161 w 7th st, brooklyn, ny 11223",1
"90-10 34th ave, flushing, ny 11372",1
"303 w 66th st #20d, new york, ny 10023",1
"3520 82nd st apt 32, jackson heights, ny 11372",1
"1857 holland ave, bronx, ny 10462",1
"902 harding park, bronx, ny 10473",1
"632 e 52nd st, brooklyn, ny 11203",1
"42 w 138th st apt 31, new york, ny 10037",1
"62 3rd st., brooklyn, ny 11231",1
"195 willoughby ave apartment 1610, brooklyn, ny 11205",1
"86-16 60th ave #1c, elmhurst, ny 11373",1
"2420 cortelyou rd, brooklyn, ny 11226",1
"888 fulton st #3a, brooklyn, ny 11238",1
"2440 amsterdam ave #2a, new york, ny 10033",1
"456 w 167th st #6g, new york, ny 10032",1
"196- 30 67th ave #2fl, fresh meadows, ny 11365",1
"33-52 crescent st #7c, long island city, ny 11106",1
"503 4th ave, brooklyn, ny 11215",1
"968 schenectady ave, brooklyn, ny 11203",1
"1813 e 24th st, brooklyn, ny 11229",1
"1 central park s # 606, new york, ny 10023",1
"468 marion st, brooklyn, ny 11233",1
"1967 65th st #2e, brooklyn, ny 11204",1
"184 cannon ave, staten island, ny 10314",1
"77 e 110th st #5b, new york, ny 10029",1
"30-33 93rd st, flushing, ny 11369",1
"894 e 38th st, brooklyn, ny 11210",1
"56-09 van cleef st, flushing, ny 11368",1
"1179 lincoln pl, brooklyn, ny 11213",1
"25138 71st ave # 80a, queens, ny 11426",1
"568 st marks ave #3a, brooklyn, ny 11216",1
"116 taylor st, staten island, ny 10310",1
"2675 ocean ave #4a, brooklyn, ny 11229",1
"23 bay 7th st, brooklyn, ny 11228",1
"100 barclay st #20c, new york, ny 10007",1
"120-35 144th st, jamaica, ny 11436",1
"371 swinnerton st, staten island, ny 10307",1
"168 e 90th st #3w, new york, ny 10128",1
"622 madison st, brooklyn, ny 11221",1
"3777 independence ave #16b, bronx, ny 10463",1
"2066 ryer ave, bronx, ny 10457",1
"2764 w 15th st, brooklyn, ny 11224",1
"345 w 14th st #3e, new york, ny 10011",1
"32 oliver st, brooklyn, ny 11209",1
"165 chrystie st, new york, ny 10002",1
"159 rivington st, new york, ny 10002",1
"2547 w 2nd st #1h, brooklyn, ny 11223",1
"400 west end ave #2a, new york, ny 10024",1
"250 south end ave #12f, new york, ny 10280",1
"35 prospect park w #10b, brooklyn, ny 11215",1
"121 mercer st fl 4, new york, ny 10012",1
"18 vermont ct, brooklyn, ny 11207",1
"121-16 keel ct, college point, ny 11356",1
"2 grace ct apt 3e, brooklyn, ny 11201",1
"50 bridge park dr #3d, brooklyn heights, ny 11201",1
"1378 bristow st, bronx, ny 10459",1
" 29 w 65th st #2f, new york, ny 10023",1
"69-45 108th st #2a, forest hills, ny 11375",1
"25 clyde st #67, flushing, ny 11375",1
"60 cooper st #5b, new york, ny 10034",1
"455 e 51st st #2b, new york, ny 10022",1
"15 e 93rd st, new york, ny 10128",1
"1280 5th ave, new york, ny 10029",1
"2928 w 5th st #4g, brooklyn, ny 11224",1
"72 middle loop rd, staten island, ny 10308",1
"320 e 42nd st apt 1901, new york, ny 10017",1
"333 e 30th st #8l, new york, ny 10016",1
"42-22 82nd st #6b, elmhurst, ny 11373",1
"117 w 85th st, new york, ny 10024",1
"143-35 22nd rd, whitestone, ny 11357",1
"15 w 63rd st. #21a, new york, ny 10023",1
"4 marisa ct #4a, bronx, ny 10465",1
"425 w 50th st #12b, new york, ny 10019",1
"246 spring st #4111, new york, ny 10013",1
"334 bethel ave, staten island, ny 10307",1
"42-39 judge st #2b, elmhurst, ny 11373",1
"375 w 123rd st #7b, new york, ny 10027",1
"66 reade st, new york, ny 10007",1
"315 e 70th st #9d, new york, ny 10021",1
"6515 38th ave apt 2f, woodside, ny 11377",1
"57-19 64th st, flushing, ny 11378",1
"238 56th st #1f, brooklyn, ny 11220",1
"59 st johns ave, staten island, ny 10305",1
"90 east end ave #6b, new york, ny 10028",1
"105 norfolk st #3a, new york, ny 10002",1
"455 irving ave, brooklyn, ny 11237",1
"105-47 88th st, jamaica, ny 11417",1
"10-45 115th st, flushing, ny 11356",1
"60-29 marathon pkwy, little neck, ny 11362",1
"4067 murdock ave, bronx, ny 10466",1
"9201 shore rd apt b301, brooklyn, ny 11209",1
"513 e 5th st #2a, new york, ny 10009",1
"125 w 96th st #1c, new york, ny 10025",1
"195 mother gaston blvd, brooklyn, ny 11233",1
"17 white st #3b, new york, ny 10013",1
"12 e 88th st apartment 9d, new york, ny 10128",1
"4295 webster ave #6k, bronx, ny 10470",1
"61-88 dry harbor rd, flushing, ny 11379",1
"150 hawthorne st #5d, brooklyn, ny 11225",1
"966 e 42nd st, brooklyn, ny 11210",1
"17 seth ct # b, staten island, ny 10301",1
"38-15 149th st #2j, flushing, ny 11354",1
"502 park ave apt 12h, new york, ny 10022",1
"1372 e 57th st, brooklyn, ny 11234",1
"425 e 79th st #7c, new york, ny 10075",1
"3883 bedford ave, brooklyn, ny 11229",1
"82 charles st #5r, new york, ny 10014",1
"11020 71st rd apt 905, forest hills, ny 11375",1
"1088 park ave #15c, new york, ny 10128",1
"330 e 94th st #3a, new york, ny 10128",1
"166 12th st, brooklyn, ny 11215",1
"399 washington st fl 4, new york, ny 10013",1
"751 58th st, brooklyn, ny 11220",1
