STATE,count
brooklyn,1132
new york,841
staten island,524
bronx,468
manhattan,393
flushing,124
queens,101
forest hills,88
bayside,76
jamaica,76
rego park,56
jackson heights,56
howard beach,39
elmhurst,37
woodside,35
whitestone,34
astoria,32
corona,32
kew garden hills,30
floral park,29
middle village,27
fresh meadows,26
east elmhurst,25
far rockaway,22
college point,22
south ozone park,21
little neck,18
ridgewood,17
saint albans,17
woodhaven,14
rockaway park,12
springfield gardens,12
maspeth,12
bellerose,11
hollis,10
ozone park,10
richmond hill,9
long island city,9
glen oaks,9
douglaston,8
rosedale,7
arverne,6
bedford stuyvesant,6
cambria heights,6
glendale,6
beechhurst,5
crown heights,4
briarwood,4
brownville,3
old mill basin,3
sunnyside,3
malba,3
kensington,3
richmond hill south,2
stuyvesant heights,2
east flatbush,2
new hyde park,1
canarsie,1
roosevelt island,1
belle harbor,1
ditmas park,1
brighton beach,1
prospect lefferts gardens,1
