STATE_CODE,count
ny 11375,102
ny 11235,100
ny 11209,91
ny 11234,90
ny 10314,81
ny 10463,75
ny 10022,75
ny 10024,73
ny 11372,72
ny 10023,69
ny 10306,68
ny 10021,67
ny 10312,67
ny 10065,63
ny 11374,61
ny 10025,60
ny 10128,60
ny 10019,59
ny 11201,58
ny 10301,58
ny 10011,56
ny 10304,55
ny 10028,54
ny 10471,52
ny 11215,51
ny 11360,51
ny 10016,49
ny 11229,49
ny 10003,46
ny 10014,46
ny 10465,45
ny 11357,43
ny 10305,42
ny 11221,41
ny 11208,40
ny 10309,39
ny 11204,39
ny 10075,39
ny 11373,39
ny 11414,38
ny 11355,38
ny 11432,37
ny 10013,36
ny 11367,36
ny 11214,36
ny 11377,36
ny 10462,35
ny 11207,35
ny 10308,34
ny 11354,33
ny 11230,33
ny 11368,33
ny 11224,32
ny 11203,31
ny 10466,31
ny 11223,31
ny 10012,31
ny 11236,31
ny 10461,30
ny 10469,30
ny 10017,27
ny 11379,27
ny 11228,27
ny 10307,27
ny 10473,27
ny 11238,26
ny 10029,26
ny 11220,26
ny 10303,26
ny 10027,25
ny 11361,25
ny 11415,25
ny 11385,24
ny 11233,24
ny 10010,24
ny 11436,24
ny 11356,23
ny 11216,23
ny 11218,23
ny 11005,23
ny 11231,22
ny 11211,22
ny 11210,22
ny 10002,21
ny 11691,21
ny 11358,21
ny 11105,21
ny 11420,20
ny 10035,19
ny 11694,19
ny 10467,19
ny 11369,19
ny 11412,18
ny 10310,18
ny 10001,18
ny 10030,17
ny 11225,17
ny 10031,17
ny 10033,17
ny 11362,17
ny 11219,17
ny 11222,16
ny 10458,16
ny 11365,16
ny 10007,16
ny 11421,16
ny 11413,15
ny 11101,15
ny 11212,14
ny 10470,14
ny 11217,14
ny 11429,13
ny 11366,13
ny 11213,13
ny 11378,13
ny 11232,13
ny 10302,13
ny 11226,13
ny 10032,13
ny 10036,13
ny 11426,12
ny 10457,12
ny 10451,11
ny 10009,11
ny 11237,11
ny 11435,11
ny 11249,11
ny 11418,11
ny 11205,11
ny 10472,10
ny 10460,10
ny 11106,10
ny 11417,10
ny 10026,10
ny 10005,10
ny 10456,10
ny 11423,9
ny 10034,9
ny 11363,9
ny 11004,9
ny 11103,9
ny 10468,9
ny 10038,8
ny 10453,8
ny 10037,8
ny 11370,8
ny 11422,8
ny 10452,7
ny 11692,6
ny 11427,6
ny 11206,6
ny 11001,6
ny 10459,6
ny 10040,6
ny 11411,6
ny 10004,6
ny 10464,6
ny 11104,5
ny 10069,5
ny 10280,5
ny 11433,4
ny 11102,4
ny 10454,4
ny 10474,3
ny 11419,3
ny 10044,3
ny 10018,3
ny 10006,3
ny 11109,2
ny 11697,2
ny 10039,2
ny 10455,1
ny 10282,1
ny 11040,1
ny 11364,1
ny 10475,1
ny 11693,1
ny 11416,1
