STREET_NAME,count
5th ave,43
park ave,38
west end ave,27
riverside dr,20
central,19
grand central pkwy,18
ocean pkwy,17
ocean ave,17
broadway,17
amboy rd,16
shore rd,13
4th ave,12
riverdale ave,12
lexington ave,11
clove rd,11
east 86th st,10
madison ave,10
nostrand ave.,9
kappock st,9
johnson ave,9
webster ave,8
central park s,8
neptune ave,8
yellowstone blvd apt,8
bay street landing,8
3rd ave,7
63rd st,7
arlington ave,7
metropolitan ave,7
putnam ave,7
shore rd apt,7
grand concourse,7
prospect pl,7
ridge blvd,7
8th ave,7
palisade ave,6
edgewater park,6
5th ave apt,6
harding park,6
henry hudson pkwy,6
61-20 grand central pkwy,6
82nd st,6
6th ave,6
franklin st,6
madison st,6
richmond rd,6
grand st,6
pine st,6
thompson st,6
97-37 63rd rd,5
riverside blvd,5
broadway apt,5
80th st apt,5
108th st apt,5
independence ave,5
east end ave,5
henry hudson,5
bay ridge ave,5
lafayette ave,5
shore pkwy,5
adams st,5
ovington ave,5
bedford ave,5
avenue h,5
reade st,5
jefferson ave,5
hylan blvd,5
kings hwy,5
herkimer st,5
main st,5
bank st,5
vanderbilt ave,5
lincoln pl,5
brighton 5th st,5
66th st,5
brighton 1st rd,5
avenue p,5
atlantic ave,5
netherland ave,5
72nd st apt,5
emmons ave apt,5
holland ave,5
2nd ave,5
87-15 165th st,4
front st,4
hart blvd,4
ely ave,4
troy ave,4
glenmore ave,4
ave. s,4
convent ave,4
remsen st,4
mill ave,4
columbus ave,4
fordham hill oval,4
72nd st,4
cliff st,4
greenwich st,4
5th ave ,4
bay ridge pkwy,4
39th ave apt,4
jane st,4
national dr,4
82nd st apt,4
78th st,4
huguenot ave,4
61-15 97th st,4
bergen st,4
81st st,4
goethals rd n,4
cabrini blvd apt,4
3rd st.,4
carroll st,4
brigham st,4
anderson ave,4
tudor city pl,4
windham loop,4
glenwood rd,4
barnes ave,4
vermont st,4
park ave apt,4
97-40 62nd dr,4
26987th st,4
powells cove blvd,4
tompkins ave,4
highland ave apt,4
thomas s boyland st,4
flatlands ave,4
26th ave,4
davis ave,3
12th st,3
monroe pl,3
brown st,3
central park s ,3
city island ave,3
queens blvd,3
gramercy park n,3
77110th st,3
17th st,3
charles st,3
fingerboard rd,3
douglas rd,3
40160th st,3
148-09 northern blvd,3
bennett ave,3
washington ave,3
park,3
86th st,3
st marks ave,3
20563rd st,3
